年份,縣市,總人口,出生人數,死亡人數,遷入人數,遷出人數,淨遷徙人數,自然增加人數,年人口變動,年增率（%）
2017,金門縣,"137,456","1,281",773,"8,626","6,797","+1,829",+508,"+2,342",+1.73
2017,連江縣,"12,880",139,66,"1,151",941,+210,+73,+285,+2.26
2018,基隆市,"370,155","2,180","3,041","17,355","17,807",-452,-861,"-1,303",-0.35
2018,新北市,"3,995,717","28,927","23,928","170,722","166,692","+4,030","+4,999","+9,028",+0.23
2018,臺北市,"2,668,572","22,849","17,919","128,286","147,918","-19,632","+4,930","-14,685",-0.55
2018,桃園市,"2,220,872","22,583","12,745","107,880","84,770","+23,110","+9,838","+32,855",+1.50
2018,新竹市,"445,635","4,019","2,673","22,246","19,120","+3,126","+1,346","+4,503",+1.02
2018,新竹縣,"557,010","4,449","3,707","25,105","20,986","+4,119",+742,"+4,841",+0.88
2018,苗栗縣,"548,863","3,346","4,952","16,443","19,738","-3,295","-1,606","-4,944",-0.89
2018,臺中市,"2,803,894","22,646","17,077","129,049","117,781","+11,268","+5,569","+16,824",+0.60
2018,南投縣,"497,031","3,232","4,831","14,565","16,979","-2,414","-1,599","-4,020",-0.80
2018,彰化縣,"1,277,824","12,527","10,500","33,994","40,644","-6,650","+2,027","-4,634",-0.36
2018,雲林縣,"686,022","4,100","7,238","20,922","22,109","-1,187","-3,138","-4,351",-0.63
2018,嘉義縣,"507,068","2,559","5,556","15,009","16,145","-1,136","-2,997","-4,114",-0.80
2018,嘉義市,"268,622","1,886","2,103","10,968","11,528",-560,-217,-776,-0.29
2018,臺南市,"1,883,831","12,379","15,196","72,116","71,991",+125,"-2,817","-2,691",-0.14
2018,高雄市,"2,773,533","20,107","21,510","113,497","115,487","-1,990","-1,403","-3,379",-0.12
2018,屏東縣,"825,406","4,599","8,260","28,228","29,115",-887,"-3,661","-4,533",-0.55
2018,宜蘭縣,"455,221","3,055","3,919","18,471","19,009",-538,-864,"-1,386",-0.30
2018,花蓮縣,"327,968","2,411","3,514","16,478","16,642",-164,"-1,103","-1,269",-0.39
2018,臺東縣,"218,919","1,479","2,311","8,704","8,499",+205,-832,-621,-0.28
2018,澎湖縣,"104,440",881,903,"5,189","4,794",+395,-22,+367,+0.35
2018,金門縣,"139,273","1,254",754,"8,435","7,127","+1,308",+500,"+1,817",+1.32
2018,連江縣,"13,056",133,63,"1,153","1,046",+107,+70,+176,+1.37
2019,基隆市,"368,893","2,084","3,112","17,010","17,208",-198,"-1,028","-1,262",-0.34
2019,新北市,"4,018,696","28,387","25,006","177,246","157,582","+19,664","+3,381","+22,979",+0.58
2019,臺北市,"2,645,041","21,468","17,932","125,536","152,509","-26,973","+3,536","-23,531",-0.88
2019,桃園市,"2,249,037","22,841","13,209","105,690","87,168","+18,522","+9,632","+28,165",+1.27
2019,新竹市,"448,803","3,918","2,751","21,427","19,388","+2,039","+1,167","+3,168",+0.71
2019,新竹縣,"563,933","4,452","3,802","25,701","19,451","+6,250",+650,"+6,923",+1.24
2019,苗栗縣,"545,459","3,077","5,057","16,293","17,709","-1,416","-1,980","-3,404",-0.62
2019,臺中市,"2,815,261","21,602","17,642","124,952","117,470","+7,482","+3,960","+11,367",+0.41
2019,南投縣,"494,112","3,174","4,890","14,466","15,641","-1,175","-1,716","-2,919",-0.59
2019,彰化縣,"1,272,802","12,408","10,500","32,551","39,405","-6,854","+1,908","-5,022",-0.39
2019,雲林縣,"681,306","4,251","7,191","19,449","21,199","-1,750","-2,940","-4,716",-0.69
2019,嘉義縣,"503,113","2,966","5,552","14,126","15,479","-1,353","-2,586","-3,955",-0.78
2019,嘉義市,"267,690","1,722","2,051","10,804","11,409",-605,-329,-932,-0.35
2019,臺南市,"1,880,906","11,841","15,397","70,844","70,140",+704,"-3,556","-2,925",-0.16
2019,高雄市,"2,773,198","19,447","21,724","115,950","113,911","+2,039","-2,277",-335,-0.01
2019,屏東縣,"819,184","4,764","8,328","26,208","28,801","-2,593","-3,564","-6,222",-0.75
2019,宜蘭縣,"454,178","3,096","3,959","17,949","18,097",-148,-863,"-1,043",-0.23
2019,花蓮縣,"326,247","2,430","3,255","14,543","15,414",-871,-825,"-1,721",-0.52
2019,臺東縣,"216,781","1,494","2,395","7,153","8,364","-1,211",-901,"-2,138",-0.98
2019,澎湖縣,"105,207",988,949,"5,514","4,791",+723,+39,+767,+0.73
2019,金門縣,"140,185","1,211",786,"7,614","7,117",+497,+425,+912,+0.65
2019,連江縣,"13,089",146,58,"1,017","1,072",-55,+88,+33,+0.25
2020,基隆市,"367,577","2,007","3,034","16,449","16,757",-308,"-1,027","-1,316",-0.36
2020,新北市,"4,030,954","26,181","24,549","173,605","163,028","+10,577","+1,632","+12,258",+0.31
2020,臺北市,"2,602,418","19,029","17,171","117,562","162,002","-44,440","+1,858","-42,623",-1.61
2020,桃園市,"2,268,807","21,444","13,146","105,073","93,567","+11,506","+8,298","+19,770",+0.88
2020,新竹市,"451,412","3,583","2,607","20,957","19,328","+1,629",+976,"+2,609",+0.58
2020,新竹縣,"570,775","4,308","3,775","25,863","19,532","+6,331",+533,"+6,842",+1.21
2020,苗栗縣,"542,590","2,795","5,011","16,129","16,783",-654,"-2,216","-2,869",-0.53
2020,臺中市,"2,820,787","19,613","17,491","123,707","120,288","+3,419","+2,122","+5,526",+0.20
2020,南投縣,"490,832","3,142","4,731","13,475","15,160","-1,685","-1,589","-3,280",-0.66
2020,彰化縣,"1,266,670","12,096","10,459","31,523","39,359","-7,836","+1,637","-6,132",-0.48
2020,雲林縣,"676,873","4,009","7,070","18,635","19,993","-1,358","-3,061","-4,433",-0.65
2020,嘉義縣,"499,481","2,922","5,404","13,760","14,888","-1,128","-2,482","-3,632",-0.72
2020,嘉義市,"266,005","1,426","2,096","10,171","11,184","-1,013",-670,"-1,685",-0.63
2020,臺南市,"1,874,917","10,783","15,369","68,800","70,245","-1,445","-4,586","-5,989",-0.32
2020,高雄市,"2,765,932","18,929","21,703","113,084","117,567","-4,483","-2,774","-7,266",-0.26
2020,屏東縣,"812,658","4,441","8,386","25,185","27,756","-2,571","-3,945","-6,526",-0.80
2020,宜蘭縣,"453,087","2,854","3,882","17,550","17,609",-59,"-1,028","-1,091",-0.24
2020,花蓮縣,"324,372","2,175","3,171","14,281","15,159",-878,-996,"-1,875",-0.57
2020,臺東縣,"215,261","1,364","2,313","7,179","7,757",-578,-949,"-1,520",-0.70
2020,澎湖縣,"105,952",996,958,"5,190","4,484",+706,+38,+745,+0.71
2020,金門縣,"140,597","1,035",763,"6,940","6,794",+146,+272,+412,+0.29
2020,連江縣,"13,279",117,73,"1,133",989,+144,+44,+190,+1.45
2021,基隆市,"363,977","1,820","3,253","16,141","18,316","-2,175","-1,433","-3,600",-0.98
2021,新北市,"4,008,113","24,228","27,152","166,656","186,661","-20,005","-2,924","-22,841",-0.57
2021,臺北市,"2,524,393","16,695","18,719","108,058","184,155","-76,097","-2,024","-78,025",-3.00
2021,桃園市,"2,272,391","20,210","14,272","101,473","103,941","-2,468","+5,938","+3,584",+0.16
2021,新竹市,"452,640","3,451","2,762","21,622","21,105",+517,+689,"+1,228",+0.27
2021,新竹縣,"575,580","4,220","3,966","25,937","21,392","+4,545",+254,"+4,805",+0.84
2021,苗栗縣,"538,178","2,652","5,369","16,134","17,842","-1,708","-2,717","-4,412",-0.81
2021,臺中市,"2,813,490","18,304","18,503","121,383","128,538","-7,155",-199,"-7,297",-0.26
2021,南投縣,"484,897","2,839","5,124","12,793","16,460","-3,667","-2,285","-5,935",-1.21
2021,彰化縣,"1,255,330","11,388","10,859","30,309","42,188","-11,879",+529,"-11,340",-0.90
2021,雲林縣,"670,132","3,830","7,379","18,001","21,236","-3,235","-3,549","-6,741",-1.00
2021,嘉義縣,"493,316","2,665","5,800","12,626","15,684","-3,058","-3,135","-6,165",-1.23
2021,嘉義市,"264,727","1,373","2,082","10,458","11,036",-578,-709,"-1,278",-0.48
2021,臺南市,"1,862,059","9,634","15,990","67,905","74,478","-6,573","-6,356","-12,858",-0.69
2021,高雄市,"2,744,691","18,052","23,014","111,722","128,089","-16,367","-4,962","-21,241",-0.77
2021,屏東縣,"804,440","4,158","8,621","24,995","28,794","-3,799","-4,463","-8,218",-1.01
2021,宜蘭縣,"450,692","2,820","4,146","18,879","19,955","-1,076","-1,326","-2,395",-0.53
2021,花蓮縣,"321,358","2,116","3,237","14,022","15,923","-1,901","-1,121","-3,014",-0.93
2021,臺東縣,"213,386","1,316","2,404","7,293","8,078",-785,"-1,088","-1,875",-0.87
2021,澎湖縣,"106,340",907,988,"5,248","4,776",+472,-81,+388,+0.37
2021,金門縣,"141,539","1,029",750,"7,581","6,921",+660,+279,+942,+0.67
2021,連江縣,"13,645",113,67,"1,467","1,145",+322,+46,+366,+2.76
2022,基隆市,"361,526","1,607","3,823","18,540","18,800",-260,"-2,216","-2,451",-0.67
2022,新北市,"3,995,551","21,557","30,694","195,929","199,515","-3,586","-9,137","-12,562",-0.31
2022,臺北市,"2,480,681","14,528","20,838","153,880","191,337","-37,457","-6,310","-43,712",-1.73
2022,桃園市,"2,281,464","18,205","15,837","119,595","112,936","+6,659","+2,368","+9,073",+0.40
2022,新竹市,"452,473","3,052","3,082","21,584","21,740",-156,-30,-167,-0.04
2022,新竹縣,"580,503","4,101","4,627","26,958","21,554","+5,404",-526,"+4,923",+0.86
2022,苗栗縣,"535,132","2,293","6,024","19,439","18,794",+645,"-3,731","-3,046",-0.57
2022,臺中市,"2,814,459","17,880","20,850","140,357","136,518","+3,839","-2,970",+969,+0.03
2022,南投縣,"479,595","2,431","5,890","15,029","16,925","-1,896","-3,459","-5,302",-1.09
2022,彰化縣,"1,245,239","10,106","12,659","36,074","43,704","-7,630","-2,553","-10,091",-0.80
2022,雲林縣,"664,092","3,340","8,603","21,004","21,805",-801,"-5,263","-6,040",-0.90
2022,嘉義縣,"488,158","2,272","6,508","15,403","16,349",-946,"-4,236","-5,158",-1.05
2022,嘉義市,"262,924","1,202","2,382","11,289","11,920",-631,"-1,180","-1,803",-0.68
2022,臺南市,"1,852,997","8,914","17,935","76,076","76,144",-68,"-9,021","-9,062",-0.49
2022,高雄市,"2,728,137","16,133","25,550","124,348","131,573","-7,225","-9,417","-16,554",-0.60
2022,屏東縣,"798,703","3,749","9,676","31,312","31,140",+172,"-5,927","-5,737",-0.71
2022,宜蘭縣,"449,062","2,378","4,678","21,562","20,941",+621,"-2,300","-1,630",-0.36
2022,花蓮縣,"318,892","2,033","3,749","14,952","15,720",-768,"-1,716","-2,466",-0.77
2022,臺東縣,"212,551","1,405","2,666","8,463","8,034",+429,"-1,261",-835,-0.39
2022,澎湖縣,"107,223",841,"1,069","6,017","4,906","+1,111",-228,+883,+0.83
2022,金門縣,"141,295",855,909,"7,468","7,667",-199,-54,-244,-0.17
2022,連江縣,"13,983",104,80,"1,433","1,120",+313,+24,+338,+2.48
2023,基隆市,"362,255","1,352","3,681","19,073","16,001","+3,072","-2,329",+729,+0.20
2023,新北市,"4,041,120","18,463","29,931","210,461","153,397","+57,064","-11,468","+45,569",+1.14
2023,臺北市,"2,511,886","16,027","20,354","164,913","129,378","+35,535","-4,327","+31,205",+1.26
2023,桃園市,"2,317,445","17,910","16,090","122,067","87,893","+34,174","+1,820","+35,981",+1.58
2023,新竹市,"456,475","2,767","3,076","22,755","18,429","+4,326",-309,"+4,002",+0.88
2023,新竹縣,"589,289","3,978","4,496","28,273","18,961","+9,312",-518,"+8,786",+1.51
2023,苗栗縣,"534,575","2,296","5,984","19,739","16,578","+3,161","-3,688",-557,-0.10
2023,臺中市,"2,845,909","17,035","20,810","147,731","112,532","+35,199","-3,775","+31,450",+1.12
2023,南投縣,"477,094","2,417","5,573","15,215","14,598",+617,"-3,156","-2,501",-0.52
2023,彰化縣,"1,239,048","9,808","12,335","35,425","39,063","-3,638","-2,527","-6,191",-0.50
2023,雲林縣,"659,468","3,206","8,163","20,067","19,726",+341,"-4,957","-4,624",-0.70
2023,嘉義縣,"484,560","2,360","6,295","15,127","14,783",+344,"-3,935","-3,598",-0.74
2023,嘉義市,"263,584","1,211","2,378","11,497","9,675","+1,822","-1,167",+660,+0.25
2023,臺南市,"1,859,946","9,351","17,946","78,460","62,934","+15,526","-8,595","+6,949",+0.38
2023,高雄市,"2,737,941","15,805","25,522","126,931","107,356","+19,575","-9,717","+9,804",+0.36
2023,屏東縣,"794,997","4,260","9,518","28,386","26,815","+1,571","-5,258","-3,706",-0.46
2023,宜蘭縣,"449,890","2,405","4,519","21,822","18,859","+2,963","-2,114",+828,+0.18
2023,花蓮縣,"317,489","1,861","3,719","14,299","13,855",+444,"-1,858","-1,403",-0.44
2023,臺東縣,"211,544","1,468","2,665","7,549","7,377",+172,"-1,197","-1,007",-0.47
2023,澎湖縣,"107,739",767,"1,138","5,957","5,073",+884,-371,+516,+0.48
2023,金門縣,"144,149",721,981,"9,565","6,456","+3,109",-260,"+2,854",+2.02
2023,連江縣,"14,039",103,28,"1,236","1,210",+26,+75,+56,+0.40
